Tier,M&M,Parent,Child L1,Child L2,Child L3,Child L4,Child L5,Description,Data type,Allowed values,Complex type,Cardinality/Required?,,OME 6-2016,OME Cardinality/Required?,OME Data type
3,,,,,FrequencyMultiplication,,,This field captures the optical frequency multiplication factor that may be specified for this Laser.,xsd:float with unit none,,,,,same,,positiveInt
1,Y,,,,ModulationMechanism,,,"The Modulation Mechanism used for this Laser. Examples include, None, Direct, Acousto-Optical Beam Splitter (AOBS), Acousto-Optical Tunable Filter (AOTF), Acousto-Optical Modulator (AOM).",enum,"Acousto-Optical Beam Splitter, Acousto-Optical Tunable Filter, Acousto-Optical Modulator, Direct, None, Other",LaserModulation,,,,,
2,,,,,LaserClass,,,This describes the safety Class this Laser belongs to. Laser Classes are defined based on their potential for causing injury to humans’ eyes and skin.,enum,"1, 1M, 2, 2M, 3R, 3B, 4",LaserClass,,,,,
2,,,,,IsPump,,,Wheter (True) or not (False) this Laser serves as a Pump for a downstream Laser.,boolean,,,R,,,,
3,,,,,Position,,,This field captures the position of this Laser on a Multi Laser Engine.,positiveInt with unit:none,,,,,,,
3,,,,,PulseDuration,,,"In the case this is a pulsed Laser (Pulse is True), this field describes the duration of each Laser pulse",float with unit:PulseDurationUnit [default ms],,,,,,,
2,,,,,Acousto-OpticalDeviceRef,,,This empty element refers to an Acousto-Optical Device component used to modulate the Power of this Laser.,Extension of Reference,,Reference,0 ... ∞,,,,
e,e,,,,,,,,,,,,,,,
3,,,,,Pump,,,"In case the primary Laser is Pumped, this element describe a secondary Laser, positioned upstream of the primary Laser and used to pump it.",Εlement,,,0 ... 1,,same (changed to  type LaserRef),0 ... 1,Element
3,,,,,,,ID (LaserID),A Unique Identifier for this component,LaserID,,LaserRef,1,,was LightSourceID,R,
e,e,,,,,,,,,,,,,,,
1,,,,,IlluminationWavelengthRange,,,"A  range of Wavelengths this device is designed for, according to the Manufacturer. Multiple of this element may be used.",Element,,,0 ... ∞,,,,
1,,,,,,IlluminationPower,,"This field records the nominal Illumination Power (also known as Power Output or Illumination Intensity) emitted at Peak Wavelength by this Light Source, as advertised by the Manufacturer.",float with unit:IlluminationPowerUnit [default mW],,,R,,,,
2,,,,,,PeakWavelength,,"This field records the nominal Wavelength associated with the peak response rate of this device.
",float with unit:PeakWavelengthUnit,,WavelengthRange,R,,,,
